nm,n,k ,,,nm
0.546,4.52715011,0.141962083,,,546
0.547,4.5212196,0.1402495,,,547
0.548,4.51535145,0.138567537,,,548
0.549,4.50954393,0.136915058,,,549
0.55,4.5037966,0.135291885,,,550
0.551,4.49810905,0.13369786,,,551
0.552,4.49248084,0.132132795,,,552
0.553,4.48691107,0.130595892,,,553
0.554,4.48139806,0.129085828,,,554
0.555,4.47594075,0.127601899,,,555
0.556,4.47053877,0.12614396,,,556
0.557,4.46519174,0.124711866,,,557
0.558,4.45989901,0.123305247,,,558
0.559,4.45465888,0.121922823,,,559
0.56,4.44947063,0.12056385,,,560
0.561,4.44433386,0.119228038,,,561
0.562,4.43924822,0.117915255,,,562
0.563,4.43421336,0.116625371,,,563
0.564,4.42922837,0.115357919,,,564
0.565,4.42429132,0.114111834,,,565
0.566,4.41940053,0.112886006,,,566
0.567,4.41455531,0.111680051,,,567
0.568,4.40975536,0.110493853,,,568
0.569,4.40500037,0.109327298,,,569
0.57,4.40029048,0.108180164,,,570
0.571,4.39562628,0.107052089,,,571
0.572,4.39100694,0.105942421,,,572
0.573,4.38643193,0.104850859,,,573
0.574,4.38190097,0.103777297,,,574
0.575,4.37741374,0.10272163,,,575
0.576,4.37296913,0.101683383,,,576
0.577,4.36856463,0.100661465,,,577
0.578,4.36419965,0.099655416,,,578
0.579,4.35987378,0.098664914,,,579
0.58,4.35558674,0.097689868,,,580
0.581,4.35133829,0.096730185,,,581
0.582,4.34712825,0.095785729,,,582
0.583,4.34295687,0.09485615,,,583
0.584,4.33882366,0.093941098,,,584
0.585,4.33472763,0.093039953,,,585
0.586,4.33066851,0.09215261,,,586
0.587,4.32664605,0.091278984,,,587
0.588,4.32265999,0.090418985,,,588
0.589,4.31870959,0.089572107,,,589
0.59,4.31479427,0.088738015,,,590
0.591,4.31091287,0.087916177,,,591
0.592,4.30706482,0.087106357,,,592
0.593,4.30324989,0.086308482,,,593
0.594,4.29946787,0.08552248,,,594
0.595,4.2957182,0.084748095,,,595
0.596,4.29199967,0.083984684,,,596
0.597,4.28831221,0.0832321,,,597
0.598,4.28465628,0.082490161,,,598
0.599,4.28103172,0.081758796,,,599
0.6,4.27743833,0.08103794,,,600
0.601,4.2738759,0.08032753,,,601
0.602,4.2703443,0.079627363,,,602
0.603,4.26684338,0.078937258,,,603
0.604,4.26337204,0.078256842,,,604
0.605,4.25992895,0.077585666,,,605
0.606,4.25651393,0.076923671,,,606
0.607,4.25312678,0.0762708,,,607
0.608,4.24976729,0.075626983,,,608
0.609,4.24643468,0.074991782,,,609
0.61,4.2431285,0.074364986,,,610
0.611,4.23984882,0.07374646,,,611
0.612,4.23659565,0.073136084,,,612
0.613,4.23336884,0.072533808,,,613
0.614,4.23016819,0.071939583,,,614
0.615,4.22699355,0.071353348,,,615
0.616,4.22384468,0.070774866,,,616
